AdditionalInformation,QuestionStem,Answer,A,B,C,D,E,F,G
第3章,打开Word文档一般是指().,C,"A:从内存中读文档的内容,并
显示出来","B:为指定文件开设一个新的,空
的文档窗口","C:把文档的内容从磁盘调入内
存,并显示出来","D:显示并打印出指定文
档的内容",,,
第3章,"打开一个文档,是将文档调入()中,并显",A,A:内存,B:剪贴板,C:硬盘,D:软盘,,,
第3章,"当前活动窗口是文档d1.doc的窗口,单击该窗口的""最小化""按钮后().",A,"A:在窗口中不显示d1.doc文档内容,但
d1.doc文档并","B:该窗口和
d1.doc文档都被关闭","C:d1.doc文档未关闭,且继续显示其内容","D:关闭了
d1.doc文档但当前活动
窗口并未关",,,
第3章,当前使用的Office文件名显示在()中.,A,A:标题栏,B:菜单栏,C:常用工具栏,D:Web工具栏,,,
第3章,"多数OfficeOpenXML格式文件的扩展名是使用旧版MicrosoftOffice文件扩展名  (例如,Word文档的文件扩展名.doc),再在扩展名末尾添加字母""x""或""m""(例
如,.docx或.docm).字母""x""和""m""表示什",C,"A:字母""x""表示该文件为XML文件.字母""m""表示该文件不是
基于XML的文件","B:字母""x""表示文件不启用宏,字母""m""表示文件启用宏","C:字母""x""表示文件不能存储 宏,字母""m""表示文件可以存储宏",,,,
第3章,关于Word正确的叙述是().,A,"A:可以同时打开多个文档窗口,但只有一个文档窗口是活
动窗口",B:可以同时激活多个文档窗口,C:只能打开一个文档窗口,"D:可以同时打开多个文档窗口,但只有一个文档
窗口是可见",,,
第3章,快捷菜单是用鼠标()目标调出的.,C,A:左键单击,B:左键双击,C:右键单击,D:右键双击,,,
第3章,"利用Word工具栏上的显示比例按钮,可以
实现().",C,A:字符的放大,B:字符的缩小,"C:改变全文的显
示比例","D:字符的缩
放",,,
第3章,"列表框中的列出的各项内容,用户可().",B,A:追加新内容,B:选定其中一项,"C:修改其中的一
项内容","D:删除其中
一项内容",,,
第3章,"默认情况下,在Word中,欲成比例地调整
选定的图片的大小,可拖动其()的控点.",A,A:四个角上,B:上下边上,C:左右边上,"D:任意位置
上",,,
第3章,"哪个Office2007应用程序具备强大而专
业的项目管理功能()?",C,A:Excel2007,B:Visio2007,C:Project2007,"D:Access200
7",,,
第3章,"哪个Office2007应用程序可创建反映品
牌标识的高品质出版物()?",C,"A:PowerPoint2
007",B:OneNote2007,"C:Publisher20
07","D:SharePoin
tDesigner20",,,
第3章,"哪个Office2007应用程序可在
SharePoint平台上快速创建强大的解决
方案应用程序,以便提高工作效率并生成",D,A:PowerPoint2 007,B:OneNote2007,C:Publisher20 07,"D:SharePoin tDesigner20
07",,,
第3章,"您从一台高屏幕分辨率的计算机转为使用一台低分辨率的计算机,您看不到某个组
中的命令,应该怎样做()?",C,"A:单击""视图""选项卡","B:单击""视图""工具栏",C:单击该组上的箭头,,,,
第3章,"如果删除字符后,单击""撒消""按钮,再单击
""重复""按钮,则().",B,"A:在原位置恢
复输入的字符",B:删除字符,"C:在任意位置恢
复输入的字符","D:将字符存
入剪贴板",,,
第3章,"如果输入字符后,单击""撤消""按钮,执行
()操作.",A,"A:删除输入的
字符","B:复制输入的字
符","C:将字符复制到
任意位置",D:恢复字符,,,
第3章,"如果用户想保存一个正在编辑的文档,但
希望以不同文件名存储,可用()命令.",B,A:保存,B:另存为,C:比较,D:限制编辑,,,
第3章,如何查看文件的以前版本()?,C,"A:将鼠标指标
放在文件上,单击显示的向下箭头,然后单击 ""在 MicrosoftWord中编辑""命令,当文件打开时,浏览文档以查看每个版本日
期,单击某个日期,程序将滚动","B:将鼠标指标放在文件上,单击显示的向下箭 头,然后单击""版本历史记录"",在下一页上,单击顶部的版本日 期,系统将询问要打开的版本,单击某个日期","C:将鼠标指标放在文件上,单击显示的向下箭 头,然后单击""版本历史记录"",在下一页上,单击以前的某个版本日期","D:将鼠标指标放在文件上,单击显示的向下箭头,然后单击""历史实体"",在下一页上,单击""管理副本 "",然后单击以前的日期",,,
第3章,如何将以前版本还原为当前版本()?,B,"A:将鼠标指针
放在文档库中的文件上,单击显示的向下箭头,在显示的菜单中,将出现可还原到的日期的列表,选择一
个日期,然后单击""确定""","B:将鼠标指标放
在文件上,单击显示的向下箭 头,然后单击""版本历史记录"",将鼠标指针放在不处于列表顶部的任何版本日期
上,单击向下键头,然后从菜单","C:将鼠标指标放
在文件上,单击显示的向下箭 头,然后单击""版本历史记录"",在下一页上,将鼠标指针悬停在顶部版本上,单击
向下键头,然后从菜单中单击""","D:将鼠标指
标放在文件上,单击显示的向下箭头,然后单击""查看属性"",在下一页上,单击""管理副本
"",您将看到具有日期的",,,
第3章,如何了解文档库是否存储版本()?,B,"A:将鼠标指针放在文件上,单
击显示的向下箭头,然后查看 ""次要和主要版
本""是否可用","B:将鼠标指针放在文件上,单击
显示的向下箭 头,然后查看""版本历史记录""是
否可用","C:将鼠标指针放在文件上,单击
显示的向下箭 头,然后查看""版本的历史记录""
是否可用","D:将鼠标指针放在文件
上,单击显示的向下箭头,然后查看""管
理版本""是否",,,
第3章,"如何让老版本的Office可以识别
Office2007所建立的各种文件()?",D,"A:将文档的扩展名修改为doc
、xls、ppt等","B:安装IE7等工具,使其支持XML格式的文件","C:运行老版本
Office的升级功能进行升级","D:到微软网
站下载 MicrosoftOf ficeWord、 Excel和 PowerPoint2
007文件格式兼容包",,,
第3章,"若在下拉菜单中选择命令,错误的操作是 ().",A,"A:同时按住
Ctrl键和该命令选项后括号
中带有下划线","B:直接按住该命令选项后括号中带有下划线的字
母",C:用鼠标双击该命令选项,D:用鼠标单击该命令选项,,,
第3章,"设Windows处于系统默认状态,在Word编 辑状态下,移动鼠标至文档行首空白处(文
本选定区)连击左键三下,结果会选择文档",D,A:一句话,B:一行,C:一段,D:全文,,,
第3章,"设置自动保存的时间间隔时,数据范围必
须是()之间的整数.",A,A:1~120,B:1~60,C:0~100,D:0~60,,,
第3章,"使用只读方式打开文档,修改之后若要保存,可以使用的方法是().",C,A:更改文件属性,"B:选择""保存""标签中的""保存备
份""","C:用""另存为""命令为文档另起一
个名字",D:保存当前版本,,,
第3章,"输入结束后按回车,Tab键或用鼠标单击编
辑栏的()按钮均可确认输入.",B,A:Esc,B:√,C:×,D:Tab,,,
第3章,所有常用的Ctrl+快捷方式在以下程序中起作用().,D,A:Word,B:Excel,C:PowerPoint,D:以上全对,,,
第3章,文件下拉菜单底部所显示的文件名是().,D,"A:正在使用的
文件名","B:正在打印的文
件名",C:扩展名为.DOC,"D:最近被
Word处理的",,,
第3章,下列哪项不属于Word2010的文本效果().,D,A:轮廓,B:阴影,C:发光,D:三维,,,
第3章,"下列文件类型中,不属于丰富格式文本的
文件类型是().",D,A:DOC文件,B:PDF文件,C:HTML文件,D:TXT文件,,,
第3章,下列文件名正确的是().,C,"A:abc,xls",B:file18\20,C:file-1,D:test:a,,,
第3章,下面哪种说法是正确的()?,A,"A:按键提示非常好,因为您无
需记住相关的","B:按键提示涉及到同时按下组合
键","C:您必须在使用选项卡,然后按
键提示才会出现",,,,
第3章,下面有关Word2010表格功能的说法不正确的是().,D,"A:可以通过表格工具将表格
转换成文本",B:表格的单元格中可以插入表格,C:表格中可以插入图片,"D:不能设置表格的边框
线",,,
第3章,"下面有关Word的描述中,错误的选项为 ().",C,A:Word默认文档类型为DOC,"B:可以将Word文档保存为TXT类
型","C:可以将Word文档保存为BMP类
型","D:可以将
Word文档保
存为HTML类",,,
第3章,"选择菜单选项可以使用ALT键和菜单选项
中().",D,"A:带删除号字
母",B:大写字母,C:小写字母,"D:有下划线
字母",,,
第3章,以下关于Word2010和Word2003文档说法正确的是().,B,"A:Word2003程序兼容
Word2010文档","B:Word2010程序兼容Word2003文
档","C:Word2010文档与Word2003文档
类型完全相同","D:Word2010文档与
Word2003文",,,
第3章,以下关于Word2010的主文档说法正确的是().,C,"A:当打开多篇文档子文档可
再拆分",B:对长文档可再拆分,"C:对长文档进行有效的组织和维
护","D:创建子文档时必须在
主控文档视",,,
第3章,"以下关于Word的说法中,错误的是().",B,"A:在普通视图方式下,分页位置仅显示出一条虚线",B:在文档中不能使用非数字形式的页码,"C:在Word中可以对文档进行等栏宽分栏,也可以进行不等栏宽分
栏","D:Word文档中插入的图形对象同样可作删除,剪
切,复制,粘",,,
第3章,"以下关于Word的说法中,错误的是().",A,"A:在文档内容的输入和编辑过程中,系统永远处于插入状态","B:在段落中进行插入,删除等操作后,文本会自动按左右边界进行调整","C:在Word中删除分页符,分节符和删除一般字符的方法一样","D:双击一文档窗口滚动条上的拆分块,可以将该窗口一分为
二或合二为",,,
第3章,"以下哪个Office2007应用程序可以创建和编辑具有专业外观的文档,如信函、论
文、报告和小册子等()?",D,A:PowerPoint2 007,B:OneNote2007,C:Publisher20 07,D:Word2007,,,
第3章,以下说法不正确的是().,B,A:用鼠标右键单击某个对象可打开与这个对象相关的快捷菜单,B:任务栏的快速启动工具栏中有已经打开的文件的对应图标,"C:应用程序窗口和文件夹窗口均有相应的控制菜单,可用来关闭窗口","D:在Windows中格式化软盘时,可以从软盘快捷菜单中选择""格
式化""命令",,,
第3章,"以下所列各项中,()不是Word提供的视图
方式.",C,A:页面视图,B:打印预览,C:合并视图,D:大纲视图,,,
第3章,以下选定文本方法正确的是().,A,"A:将鼠标指针放在目标处,按
住鼠标左键拖","B:将鼠标指针放在目标处,双击
鼠标右键",C:Ctrl+左右箭头,D:Alt+左右箭头,,,
第3章,"以下用鼠标选定文本的方法,正确的是().",A,"A:若要选定一个段落,则把鼠标放在该段落
上,连续击三下","B:若要选定一篇文档,则把鼠标指针放在选定
区,双击","C:选定一列
时,Ctrl+鼠标指针移动","D:选定一行时,把鼠标指针放在该行
中,双击",,,
第3章,"以下有关菜单的论述,()是错误的.",D,A:菜单分为下拉菜单和快捷菜单,B:左单击菜单栏中的某一菜单即可得出下拉菜单,"C:右单击某一位置或选中的对 象,一般均可得
到快捷菜单","D:右单击菜单栏中的某一菜单,即可
得出下拉菜",,,
第3章,应在何时保存文档()?,B,"A:开始工作之
后不久","B:在键入完毕后
保存",C:无关紧要,,,,
第3章,"有什么办法可以找到以前版本的命令在
Word2007中的位置()?",B,"A:在""审阅""选项卡中","B:按F1键打开帮
助,选择""新增内容"",再选择""参考:Word2003命令在Word2007中
的位置","C:在""引用""选下卡中","D:在""开始""选项卡中",,,
第3章,"在Word2007文档的标题栏中,显示
""Marketingreport.doc(兼容模式)"".这是什么意思()?",D,"A:可以使用文档,但不能保存它","B:不能使用文档,因为它是不兼容的","C:可以对文档使用所有新的
Word2007功能","D:可以在文档中进行操作,但
Word2007将",,,
第3章,"在Word2010中下面哪个视图方式是默认
的视图方式().",B,A:普通视图,B:页面视图,C:大纲视图,"D:Web版式视
图",,,
第3章,"在Word的编辑状态,打开文档abc.doc,编
辑修改后另存为123.doc,则().",C,"A:abc.doc是当
前文档","B:两个均是当前
文档","C:123.doc是当
前文档","D:两个均不
是当前文档",,,
第3章,"在Word2007中,功能区的三个主要部分是 ().",A,A:选项卡、组和命令,"B:""Office按钮""
、选项卡和访问
键",C:菜单、工具栏和命令,,,,
第3章,"在Word2007中,文档文件和模板文件之间的一个差异会体现在文件名的扩展名(句
点之后的字母)中.模板文件的文件扩展名",B,A:.docx,B:.dotx,,,,,
第3章,"在Word2007中,要打开模板本身并对其进行更改时,首先单击""Office按钮"",然后
呢()?",B,"A:单击""新建"",然后单击""我的
模板""","B:单击""打开"",然后单击""受信
任模板""",,,,,
第3章,在哪里获得文档库()?,C,"A:您可以在 Word2007、 Excel2007或 PowerPoint200
7副本中获得文档库","B:只有当您的公司拥有 MicrosoftOffi ceSharePointS
erver时,才可以获得文档库","C:您可以在
MicrosoftWind owsSharePoint
Services网站或 MicrosoftOffi ceSharePointS
erver网站上获
得文档库",D:您可以在任何可用的网络服务器上获得文档库,,,
第3章,"在下拉菜单里的各个操作命令项中,有一类被选中执行时会弹出子菜单,这类命令
项的显示特点是().",A,"A:命令项的右面标有一个实
心三角",B:命令项的右面标有省略号(…),C:命令项本身以浅灰色显示,"D:命令项位于一条横线
以上",,,
第3章,"在用键盘切换输入法时,用()可以在中、英文输入法之间切换;用()可以在安装的全部输入法之间切换.",A,"A:<Ctrl>+<空格>、
<Ctrl>+<Shift
>","B:<Ctrl>+<Shi
ft>、<Ctrl>+<空格>","C:<Ctrl>+<Shi
ft>、<Ctrl>+<回车>","D:<Ctrl>+<回车>、
<Shift>+<回
车>",,,
第3章,"Word的查找和替换功能很强,不属于其中之一的是().",B,"A:能够查找和替换带格式或
样式的文本",B:能够查找图形对象,"C:能够用统配字符进行快速,复
杂的查找和替换","D:能够查找和替换文本
中的格式",,,
第3章,"Word水平标尺左端的倒三角形按钮能实现
的排版功能是().",B,A:悬挂缩进,B:首行缩进,C:段落左缩进,"D:段落右缩
进",,,
第3章,"Word文档中如果想选中一句话,则应按住
()键单击句中任意位置.",C,A:左SHIFT,B:右SHIFT,C:CTRL,D:ALT,,,
第3章,Word应用程序窗口中的各种工具栏可以通过()进行增减.,C,"A:""文件""菜单的""属性""命令","B:""工具""菜单的
""选项""命令","C:""视图""菜单的
""工具栏""命令","D:""文件""菜单的""页面设
置""命令",,,
第3章,Word中的粘贴命令是将()中的内容粘贴,B,"A:硬盘,插入点","B:剪贴板,插入","C:软盘,插入点","D:剪贴板,内",,,
第3章,"Word中提供了多种显示文档的视图方式,
有""所见即所得""的显示效果的方式是().",B,A:普通视图,B:页面视图,C:大纲视图,"D:文档结构
图",,,
第3章,Word中字符数据的录入原则是().,C,A:可任意加空格、回车键,"B:可任意加空格,但不可以任
意加回车键","C:不任意加空格
、回车键","D:不可任意加空格,但可
以任意加回",,,
第3章,"按()键之后,可删除光标位置前的一个字",C,A:Insert,B:Del,C:Backspace,D:Delete,,,
第3章,按Esc键或单击编辑栏的()按钮可取消输,A,A:×,B:√,C:Esc,D:Tab,,,
第3章,"编辑文本时,插入字符和替换字符两种功
能进行切换的键是()键.",A,A:Insert,B:Del,C:End,D:Home,,,
